	mx	my	mt	p
1	53	13	55	28
2	50	13	52	29
3	48	13	50	29
4	45	12	47	30
5	44	12	46	31
6	41	12	43	32
7	39	11	41	33
8	36	11	38	34
9	35	11	37	35
10	33	11	35	36
11	31	10	33	37
12	29	10	31	38
13	27	10	29	39
14	26	9	28	41
15	24	9	26	42
16	22	9	24	44
17	21	9	23	45
18	19	8	21	47
19	18	8	20	49
20	17	8	19	51
21	16	8	18	53
22	14	7	16	56
23	13	7	15	58
24	12	7	14	61
25	11	7	13	64
26	10	7	12	67
27	9	7	11	71
28	8	6	10	75
29	8	6	10	80
30	7	6	9	85
31	6	6	8	90
32	6	6	8	96
33	5	6	8	103
34	5	6	8	110
35	4	7	8	118
36	4	8	9	127
37	4	9	10	136
38	3	11	11	147
39	3	16	16	157
40	3	31	31	169
