	mx	my	mt	p
1	33	8	34	28
2	31	8	32	29
3	29	8	30	29
4	28	7	29	30
5	26	7	27	31
6	25	7	26	32
7	23	7	24	33
8	22	6	23	34
9	20	6	21	35
10	19	6	20	36
11	18	6	19	37
12	17	6	18	38
13	16	6	17	39
14	14	5	15	41
15	13	5	14	42
16	12	5	13	44
17	11	5	12	45
18	10	4	11	47
19	9	4	10	49
20	8	4	9	51
21	7	4	8	53
22	7	4	8	56
23	6	4	7	58
24	5	3	6	61
25	5	3	6	64
26	4	3	5	67
27	3	3	4	71
28	3	3	4	75
29	3	3	4	80
30	2	2	3	85
31	2	2	3	90
32	2	2	3	96
33	2	2	3	103
34	2	2	3	110
35	2	2	3	118
36	2	2	3	127
37	2	2	3	136
38	2	2	3	147
39	2	2	3	157
40	2	2	3	169
